Titre,lien_wikipedia,annee,url_imdb,url_allocine
Le Divorce de mes marrants,https://fr.wikipedia.org/wiki/Le_Divorce_de_mes_marrants,2022,https://www.imdb.com/title/t12492840,https://www.allocine.fr/film/fichefilm_gen_cfilm=293323.html
Fratè,https://fr.wikipedia.org/wiki/Frat%C3%A8,2022,https://www.imdb.com/title/t20383014,https://www.allocine.fr/film/fichefilm_gen_cfilm=303037.html
Boum Boum,https://fr.wikipedia.org/wiki/Boum_Boum,2022,https://www.imdb.com/title/t19726450,https://www.allocine.fr/film/fichefilm_gen_cfilm=296290.html
Mon amour,https://fr.wikipedia.org/wiki/Mon_amour_(film),2022,https://www.imdb.com/title/t12008056,https://www.allocine.fr/film/fichefilm_gen_cfilm=260432.html
"Je t'aime, filme moi !","https://fr.wikipedia.org/wiki/Je_t%27aime,_filme_moi_!",2022,https://www.imdb.com/title/t20779134,https://www.allocine.fr/film/fichefilm_gen_cfilm=301041.html
Le Chemin du bonheur,"https://fr.wikipedia.org/wiki/Le_Chemin_du_bonheur_(film,_2021)",2022,https://www.imdb.com/title/t12970142,https://www.allocine.fr/film/fichefilm_gen_cfilm=289299.html
Piège de guerre,https://fr.wikipedia.org/w/index.php?title=Pi%C3%A8ge_de_guerre&action=edit&redlink=1,2022,NA,NA
Qu'est ce qu'elle a ma famille?,https://fr.wikipedia.org/w/index.php?title=Qu%27est_ce_qu%27elle_a_ma_famille%3F&action=edit&redlink=1,2022,NA,NA
Des hommes de paille,https://fr.wikipedia.org/w/index.php?title=Des_hommes_de_paille&action=edit&redlink=1,2022,NA,NA
Champagne!,https://fr.wikipedia.org/w/index.php?title=Champagne!_(film)&action=edit&redlink=1,2022,NA,NA
C'est magnifique !,https://fr.wikipedia.org/wiki/C%27est_magnifique_!_(film),2022,https://www.imdb.com/title/t10375632,https://www.allocine.fr/film/fichefilm_gen_cfilm=275805.html
Cœurs vaillants,https://fr.wikipedia.org/wiki/C%C5%93urs_vaillants_(film),2022,https://www.imdb.com/title/t15289702,https://www.allocine.fr/film/fichefilm_gen_cfilm=285572.html
Pilote,"https://fr.wikipedia.org/w/index.php?title=Pilote_(film,_2022)&action=edit&redlink=1",2022,NA,NA
Memento Mori,"https://fr.wikipedia.org/w/index.php?title=Memento_Mori_(film,_2022)&action=edit&redlink=1",2022,NA,NA
Don Juan,"https://fr.wikipedia.org/wiki/Don_Juan_(film,_2022)",2022,https://www.imdb.com/title/t14590650,https://www.allocine.fr/film/fichefilm_gen_cfilm=279869.html
Cérémonie secrète,"https://fr.wikipedia.org/w/index.php?title=C%C3%A9r%C3%A9monie_secr%C3%A8te_(film,_2022)&action=edit&redlink=1",2022,NA,NA
Rosy,"https://fr.wikipedia.org/w/index.php?title=Rosy_(film,_2021)&action=edit&redlink=1",2022,NA,NA
Traverser,"https://fr.wikipedia.org/w/index.php?title=Traverser_(film,_2021)&action=edit&redlink=1",2022,NA,NA
"Guanzhou, une nouvelle ère","https://fr.wikipedia.org/w/index.php?title=Guanzhou,_une_nouvelle_%C3%A8re&action=edit&redlink=1",2022,NA,NA
"HK, la plume et l'espoir","https://fr.wikipedia.org/w/index.php?title=HK,_la_plume_et_l%27espoir&action=edit&redlink=1",2022,NA,NA
Mai 68 au masculin,https://fr.wikipedia.org/w/index.php?title=Mai_68_au_masculin&action=edit&redlink=1,2022,NA,NA
Sans toi,https://fr.wikipedia.org/wiki/Sans_toi_(film),2022,https://www.imdb.com/title/t16377414,NA
Jane par Charlotte,https://fr.wikipedia.org/wiki/Jane_par_Charlotte,2022,https://www.imdb.com/title/t14851374,https://www.allocine.fr/film/fichefilm_gen_cfilm=293306.html
Le Cygne des héros,https://fr.wikipedia.org/w/index.php?title=Le_Cygne_des_h%C3%A9ros&action=edit&redlink=1,2022,NA,NA
L'amour c'est mieux que la vie,https://fr.wikipedia.org/wiki/L%27amour_c%27est_mieux_que_la_vie,2022,https://www.imdb.com/title/t13922000,https://www.allocine.fr/film/fichefilm_gen_cfilm=280517.html
Lynx,https://fr.wikipedia.org/wiki/Lynx_(film),2022,https://www.imdb.com/title/t15077870,https://www.allocine.fr/film/fichefilm_gen_cfilm=294156.html
Tendre et saignant,https://fr.wikipedia.org/wiki/Tendre_et_saignant,2022,https://www.imdb.com/title/t13353386,https://www.allocine.fr/film/fichefilm_gen_cfilm=278851.html
Graines d'espoir,https://fr.wikipedia.org/w/index.php?title=Graines_d%27espoir&action=edit&redlink=1,2022,NA,NA
Presque,https://fr.wikipedia.org/wiki/Presque_(film),2022,https://www.imdb.com/title/t13553662,https://www.allocine.fr/film/fichefilm_gen_cfilm=284465.html
Chœur de rockers,https://fr.wikipedia.org/wiki/Ch%C5%93ur_de_rockers,2022,https://www.imdb.com/title/t14636024,NA
Adieu Paris,"https://fr.wikipedia.org/wiki/Adieu_Paris_(film,_2021)",2022,https://www.imdb.com/title/t13492256,https://www.allocine.fr/film/fichefilm_gen_cfilm=287061.html
Super-héros malgré lui,https://fr.wikipedia.org/wiki/Super-h%C3%A9ros_malgr%C3%A9_lui,2022,https://www.imdb.com/title/t13774454,https://www.allocine.fr/film/fichefilm_gen_cfilm=285884.html
Les Jeunes Amants,"https://fr.wikipedia.org/wiki/Les_Jeunes_Amants_(film,_2022)",2022,https://www.imdb.com/title/t13462472,https://www.allocine.fr/film/fichefilm_gen_cfilm=283476.html
Les Voisins de mes voisins sont mes voisins,https://fr.wikipedia.org/wiki/Les_Voisins_de_mes_voisins_sont_mes_voisins,2022,https://www.imdb.com/title/t15502904,https://www.allocine.fr/film/fichefilm_gen_cfilm=287218.html
Vous ne désirez que moi,https://fr.wikipedia.org/wiki/Vous_ne_d%C3%A9sirez_que_moi,2022,https://www.imdb.com/title/t14300376,https://www.allocine.fr/film/fichefilm_gen_cfilm=287637.html
La Disparition ?,"https://fr.wikipedia.org/wiki/La_Disparition_%3F_(film,_2021)",2022,https://www.imdb.com/title/t15153996,NA
L'Horizon,"https://fr.wikipedia.org/wiki/L%27Horizon_(film,_2021)",2022,https://www.imdb.com/title/t10768264,https://www.allocine.fr/film/fichefilm_gen_cfilm=269516.html
Golda Maria,https://fr.wikipedia.org/wiki/Golda_Maria,2022,https://www.imdb.com/title/t11771486,NA
Des films en campagne,https://fr.wikipedia.org/w/index.php?title=Des_films_en_campagne&action=edit&redlink=1,2022,NA,NA
Maison de retraite,https://fr.wikipedia.org/wiki/Maison_de_retraite_(film),2022,https://www.imdb.com/title/t12847680,https://www.allocine.fr/film/fichefilm_gen_cfilm=285300.html
Nous,https://fr.wikipedia.org/wiki/Nous_(film),2022,https://www.imdb.com/title/t14038600,https://www.allocine.fr/film/fichefilm_gen_cfilm=290273.html
La Jungle est mon jardin,https://fr.wikipedia.org/w/index.php?title=La_Jungle_est_mon_jardin&action=edit&redlink=1,2022,NA,NA
